id,Temperature,Date
151,12.8,"1981-05-31 00:00:00"
152,11.6,"1981-06-01 00:00:00"
153,10.6,"1981-06-02 00:00:00"
154,9.8,"1981-06-03 00:00:00"
155,11.2,"1981-06-04 00:00:00"
156,5.7,"1981-06-05 00:00:00"
157,7.1,"1981-06-06 00:00:00"
158,2.5,"1981-06-07 00:00:00"
159,3.5,"1981-06-08 00:00:00"
160,4.6,"1981-06-09 00:00:00"
161,11,"1981-06-10 00:00:00"
162,5.7,"1981-06-11 00:00:00"
163,7.7,"1981-06-12 00:00:00"
164,10.4,"1981-06-13 00:00:00"
165,11.4,"1981-06-14 00:00:00"
166,9.2,"1981-06-15 00:00:00"
167,6.1,"1981-06-16 00:00:00"
168,2.7,"1981-06-17 00:00:00"
169,4.3,"1981-06-18 00:00:00"
170,6.3,"1981-06-19 00:00:00"
171,3.8,"1981-06-20 00:00:00"
172,4.4,"1981-06-21 00:00:00"
173,7.1,"1981-06-22 00:00:00"
174,4.8,"1981-06-23 00:00:00"
175,5.8,"1981-06-24 00:00:00"
176,6.2,"1981-06-25 00:00:00"
177,7.3,"1981-06-26 00:00:00"
178,9.2,"1981-06-27 00:00:00"
179,10.2,"1981-06-28 00:00:00"
180,9.5,"1981-06-29 00:00:00"
181,9.5,"1981-06-30 00:00:00"
182,10.7,"1981-07-01 00:00:00"
183,10,"1981-07-02 00:00:00"
184,6.5,"1981-07-03 00:00:00"
185,7,"1981-07-04 00:00:00"
186,7.4,"1981-07-05 00:00:00"
187,8.1,"1981-07-06 00:00:00"
188,6.6,"1981-07-07 00:00:00"
189,8.3,"1981-07-08 00:00:00"
190,8.9,"1981-07-09 00:00:00"
191,4.6,"1981-07-10 00:00:00"
192,6.8,"1981-07-11 00:00:00"
193,5.7,"1981-07-12 00:00:00"
194,6.1,"1981-07-13 00:00:00"
195,7,"1981-07-14 00:00:00"
196,7.2,"1981-07-15 00:00:00"
197,6.3,"1981-07-16 00:00:00"
198,8.8,"1981-07-17 00:00:00"
199,5,"1981-07-18 00:00:00"
200,7.4,"1981-07-19 00:00:00"
201,10.1,"1981-07-20 00:00:00"
202,12,"1981-07-21 00:00:00"
203,9,"1981-07-22 00:00:00"
204,8.9,"1981-07-23 00:00:00"
205,9.8,"1981-07-24 00:00:00"
206,9,"1981-07-25 00:00:00"
207,9.2,"1981-07-26 00:00:00"
208,7.7,"1981-07-27 00:00:00"
209,8,"1981-07-28 00:00:00"
210,6.1,"1981-07-29 00:00:00"
211,3.5,"1981-07-30 00:00:00"
212,3.2,"1981-07-31 00:00:00"
213,5.7,"1981-08-01 00:00:00"
214,7.7,"1981-08-02 00:00:00"
215,9,"1981-08-03 00:00:00"
216,10,"1981-08-04 00:00:00"
217,6.2,"1981-08-05 00:00:00"
218,6.9,"1981-08-06 00:00:00"
219,6.5,"1981-08-07 00:00:00"
220,6.8,"1981-08-08 00:00:00"
221,7,"1981-08-09 00:00:00"
222,5.2,"1981-08-10 00:00:00"
223,3,"1981-08-11 00:00:00"
224,5.6,"1981-08-12 00:00:00"
225,7.9,"1981-08-13 00:00:00"
226,9,"1981-08-14 00:00:00"
227,8.6,"1981-08-15 00:00:00"
228,10.3,"1981-08-16 00:00:00"
229,10.5,"1981-08-17 00:00:00"
230,7.6,"1981-08-18 00:00:00"
231,9.7,"1981-08-19 00:00:00"
232,12.5,"1981-08-20 00:00:00"
233,7.4,"1981-08-21 00:00:00"
234,7.9,"1981-08-22 00:00:00"
235,3.9,"1981-08-23 00:00:00"
236,6.6,"1981-08-24 00:00:00"
237,4.6,"1981-08-25 00:00:00"
238,7,"1981-08-26 00:00:00"
239,6,"1981-08-27 00:00:00"
240,5.5,"1981-08-28 00:00:00"
241,8.1,"1981-08-29 00:00:00"
242,5.5,"1981-08-30 00:00:00"
243,6.2,"1981-08-31 00:00:00"
244,8,"1981-09-01 00:00:00"
245,10.3,"1981-09-02 00:00:00"
246,9.8,"1981-09-03 00:00:00"
247,9.6,"1981-09-04 00:00:00"
248,8.5,"1981-09-05 00:00:00"
249,7.5,"1981-09-06 00:00:00"
250,11.2,"1981-09-07 00:00:00"
251,14.6,"1981-09-08 00:00:00"
252,11.7,"1981-09-09 00:00:00"
253,7.8,"1981-09-10 00:00:00"
254,12.3,"1981-09-11 00:00:00"
255,10.1,"1981-09-12 00:00:00"
256,11.5,"1981-09-13 00:00:00"
257,7.3,"1981-09-14 00:00:00"
258,10.9,"1981-09-15 00:00:00"
259,14.1,"1981-09-16 00:00:00"
260,10.7,"1981-09-17 00:00:00"
261,16.9,"1981-09-18 00:00:00"
262,10.5,"1981-09-19 00:00:00"
263,6.5,"1981-09-20 00:00:00"
264,11,"1981-09-21 00:00:00"
265,6.3,"1981-09-22 00:00:00"
266,10.5,"1981-09-23 00:00:00"
267,7.2,"1981-09-24 00:00:00"
268,7.6,"1981-09-25 00:00:00"
269,10.7,"1981-09-26 00:00:00"
270,7.8,"1981-09-27 00:00:00"
271,9.6,"1981-09-28 00:00:00"
272,11.4,"1981-09-29 00:00:00"
273,12.4,"1981-09-30 00:00:00"
274,8.9,"1981-10-01 00:00:00"
275,13.2,"1981-10-02 00:00:00"
276,8.6,"1981-10-03 00:00:00"
277,6.2,"1981-10-04 00:00:00"
278,11.4,"1981-10-05 00:00:00"
279,13.2,"1981-10-06 00:00:00"
280,14.3,"1981-10-07 00:00:00"
281,7.3,"1981-10-08 00:00:00"
282,12.9,"1981-10-09 00:00:00"
283,7.8,"1981-10-10 00:00:00"
284,6.2,"1981-10-11 00:00:00"
285,5.6,"1981-10-12 00:00:00"
286,10,"1981-10-13 00:00:00"
287,13.3,"1981-10-14 00:00:00"
288,8.3,"1981-10-15 00:00:00"
289,10.2,"1981-10-16 00:00:00"
290,8.6,"1981-10-17 00:00:00"
291,7.3,"1981-10-18 00:00:00"
292,10.4,"1981-10-19 00:00:00"
293,11.2,"1981-10-20 00:00:00"
294,13.2,"1981-10-21 00:00:00"
295,11.4,"1981-10-22 00:00:00"
296,9.1,"1981-10-23 00:00:00"
297,6.6,"1981-10-24 00:00:00"
298,8.4,"1981-10-25 00:00:00"
299,9.7,"1981-10-26 00:00:00"
300,13.2,"1981-10-27 00:00:00"
301,12.5,"1981-10-28 00:00:00"
302,11,"1981-10-29 00:00:00"
303,11,"1981-10-30 00:00:00"
304,11.7,"1981-10-31 00:00:00"
305,9.2,"1981-11-01 00:00:00"
306,11.5,"1981-11-02 00:00:00"
307,13.6,"1981-11-03 00:00:00"
308,13.7,"1981-11-04 00:00:00"
309,10.4,"1981-11-05 00:00:00"
310,11.5,"1981-11-06 00:00:00"
311,7.6,"1981-11-07 00:00:00"
312,9.6,"1981-11-08 00:00:00"
313,14.2,"1981-11-09 00:00:00"
314,15.7,"1981-11-10 00:00:00"
315,10.5,"1981-11-11 00:00:00"
316,10.5,"1981-11-12 00:00:00"
317,9.7,"1981-11-13 00:00:00"
318,9.5,"1981-11-14 00:00:00"
319,11.3,"1981-11-15 00:00:00"
320,8.9,"1981-11-16 00:00:00"
321,9.4,"1981-11-17 00:00:00"
322,11.9,"1981-11-18 00:00:00"
323,11.7,"1981-11-19 00:00:00"
324,13.4,"1981-11-20 00:00:00"
325,12.6,"1981-11-21 00:00:00"
326,10.1,"1981-11-22 00:00:00"
327,15.8,"1981-11-23 00:00:00"
328,13.6,"1981-11-24 00:00:00"
329,11.9,"1981-11-25 00:00:00"
330,9.9,"1981-11-26 00:00:00"
331,12.6,"1981-11-27 00:00:00"
332,17.8,"1981-11-28 00:00:00"
333,15,"1981-11-29 00:00:00"
334,13.6,"1981-11-30 00:00:00"
335,13.4,"1981-12-01 00:00:00"
336,10.5,"1981-12-02 00:00:00"
337,14.2,"1981-12-03 00:00:00"
338,11.5,"1981-12-04 00:00:00"
339,13,"1981-12-05 00:00:00"
340,15,"1981-12-06 00:00:00"
341,14.7,"1981-12-07 00:00:00"
342,12.6,"1981-12-08 00:00:00"
343,12.5,"1981-12-09 00:00:00"
344,13.5,"1981-12-10 00:00:00"
345,14.8,"1981-12-11 00:00:00"
346,17.2,"1981-12-12 00:00:00"
347,9.7,"1981-12-13 00:00:00"
348,12.1,"1981-12-14 00:00:00"
349,12.8,"1981-12-15 00:00:00"
350,11.2,"1981-12-16 00:00:00"
351,16.4,"1981-12-17 00:00:00"
352,15.6,"1981-12-18 00:00:00"
353,13.3,"1981-12-19 00:00:00"
354,11,"1981-12-20 00:00:00"
355,11.1,"1981-12-21 00:00:00"
356,15,"1981-12-22 00:00:00"
357,12.8,"1981-12-23 00:00:00"
358,15,"1981-12-24 00:00:00"
359,14.2,"1981-12-25 00:00:00"
360,14,"1981-12-26 00:00:00"
361,15.5,"1981-12-27 00:00:00"
362,13.3,"1981-12-28 00:00:00"
363,15.6,"1981-12-29 00:00:00"
364,15.2,"1981-12-30 00:00:00"
365,17.4,"1981-12-31 00:00:00"
366,17,"1982-01-01 00:00:00"
367,15,"1982-01-02 00:00:00"
368,13.5,"1982-01-03 00:00:00"
369,15.2,"1982-01-04 00:00:00"
370,13,"1982-01-05 00:00:00"
371,12.5,"1982-01-06 00:00:00"
372,14.1,"1982-01-07 00:00:00"
373,14.8,"1982-01-08 00:00:00"
374,16.2,"1982-01-09 00:00:00"
375,15.8,"1982-01-10 00:00:00"
376,19.1,"1982-01-11 00:00:00"
377,22.2,"1982-01-12 00:00:00"
378,15.9,"1982-01-13 00:00:00"
379,13,"1982-01-14 00:00:00"
380,14.1,"1982-01-15 00:00:00"
381,15.8,"1982-01-16 00:00:00"
382,24,"1982-01-17 00:00:00"
383,18,"1982-01-18 00:00:00"
384,19.7,"1982-01-19 00:00:00"
385,25.2,"1982-01-20 00:00:00"
386,20.5,"1982-01-21 00:00:00"
387,19.3,"1982-01-22 00:00:00"
388,15.8,"1982-01-23 00:00:00"
389,17,"1982-01-24 00:00:00"
390,18.4,"1982-01-25 00:00:00"
391,13.3,"1982-01-26 00:00:00"
392,14.6,"1982-01-27 00:00:00"
393,12.5,"1982-01-28 00:00:00"
394,17,"1982-01-29 00:00:00"
395,17.1,"1982-01-30 00:00:00"
396,14,"1982-01-31 00:00:00"
397,14.6,"1982-02-01 00:00:00"
398,13.3,"1982-02-02 00:00:00"
399,14.8,"1982-02-03 00:00:00"
400,15.1,"1982-02-04 00:00:00"
401,13.1,"1982-02-05 00:00:00"
402,13.6,"1982-02-06 00:00:00"
403,19.5,"1982-02-07 00:00:00"
404,22.7,"1982-02-08 00:00:00"
405,17.2,"1982-02-09 00:00:00"
406,13.5,"1982-02-10 00:00:00"
407,15.4,"1982-02-11 00:00:00"
408,17,"1982-02-12 00:00:00"
409,19.2,"1982-02-13 00:00:00"
410,22.8,"1982-02-14 00:00:00"
411,26.3,"1982-02-15 00:00:00"
412,18.2,"1982-02-16 00:00:00"
413,17,"1982-02-17 00:00:00"
414,14.8,"1982-02-18 00:00:00"
415,12.8,"1982-02-19 00:00:00"
416,15.5,"1982-02-20 00:00:00"
417,15.6,"1982-02-21 00:00:00"
418,13.1,"1982-02-22 00:00:00"
419,15.2,"1982-02-23 00:00:00"
420,14.1,"1982-02-24 00:00:00"
421,12.5,"1982-02-25 00:00:00"
422,14.6,"1982-02-26 00:00:00"
423,10.4,"1982-02-27 00:00:00"
424,13.9,"1982-02-28 00:00:00"
425,11.9,"1982-03-01 00:00:00"
426,13.5,"1982-03-02 00:00:00"
427,9.8,"1982-03-03 00:00:00"
428,14,"1982-03-04 00:00:00"
429,21.5,"1982-03-05 00:00:00"
430,19.5,"1982-03-06 00:00:00"
431,16.7,"1982-03-07 00:00:00"
432,19.1,"1982-03-08 00:00:00"
433,11,"1982-03-09 00:00:00"
434,9,"1982-03-10 00:00:00"
435,10,"1982-03-11 00:00:00"
436,14.6,"1982-03-12 00:00:00"
437,12.5,"1982-03-13 00:00:00"
438,17.2,"1982-03-14 00:00:00"
439,19.2,"1982-03-15 00:00:00"
440,22.2,"1982-03-16 00:00:00"
441,15.7,"1982-03-17 00:00:00"
442,14.2,"1982-03-18 00:00:00"
443,9.8,"1982-03-19 00:00:00"
444,14,"1982-03-20 00:00:00"
445,17.5,"1982-03-21 00:00:00"
446,20.7,"1982-03-22 00:00:00"
447,15.6,"1982-03-23 00:00:00"
448,13.2,"1982-03-24 00:00:00"
449,14.5,"1982-03-25 00:00:00"
450,16.8,"1982-03-26 00:00:00"
451,17.2,"1982-03-27 00:00:00"
452,13.4,"1982-03-28 00:00:00"
453,14.2,"1982-03-29 00:00:00"
454,14.3,"1982-03-30 00:00:00"
455,10.2,"1982-03-31 00:00:00"
456,10.4,"1982-04-01 00:00:00"
457,12.3,"1982-04-02 00:00:00"
458,11.9,"1982-04-03 00:00:00"
459,11.2,"1982-04-04 00:00:00"
460,8.5,"1982-04-05 00:00:00"
461,12,"1982-04-06 00:00:00"
462,12.4,"1982-04-07 00:00:00"
463,12.9,"1982-04-08 00:00:00"
464,10.1,"1982-04-09 00:00:00"
465,15,"1982-04-10 00:00:00"
466,13.6,"1982-04-11 00:00:00"
467,12.4,"1982-04-12 00:00:00"
468,13.6,"1982-04-13 00:00:00"
469,16.1,"1982-04-14 00:00:00"
470,19.5,"1982-04-15 00:00:00"
471,14.2,"1982-04-16 00:00:00"
472,9.3,"1982-04-17 00:00:00"
473,10.1,"1982-04-18 00:00:00"
474,7.4,"1982-04-19 00:00:00"
475,8.6,"1982-04-20 00:00:00"
476,7.8,"1982-04-21 00:00:00"
477,9.1,"1982-04-22 00:00:00"
478,13,"1982-04-23 00:00:00"
479,16.5,"1982-04-24 00:00:00"
480,12.9,"1982-04-25 00:00:00"
481,6.9,"1982-04-26 00:00:00"
482,6.9,"1982-04-27 00:00:00"
483,8.7,"1982-04-28 00:00:00"
484,10,"1982-04-29 00:00:00"
485,10.8,"1982-04-30 00:00:00"
486,7.5,"1982-05-01 00:00:00"
487,6.3,"1982-05-02 00:00:00"
488,11.9,"1982-05-03 00:00:00"
489,13.8,"1982-05-04 00:00:00"
490,11.8,"1982-05-05 00:00:00"
491,11,"1982-05-06 00:00:00"
492,10.1,"1982-05-07 00:00:00"
493,8.5,"1982-05-08 00:00:00"
494,5.5,"1982-05-09 00:00:00"
495,7.6,"1982-05-10 00:00:00"
496,8.7,"1982-05-11 00:00:00"
497,10.8,"1982-05-12 00:00:00"
498,11.2,"1982-05-13 00:00:00"
499,9.1,"1982-05-14 00:00:00"
500,3.7,"1982-05-15 00:00:00"
501,4.6,"1982-05-16 00:00:00"
502,6.6,"1982-05-17 00:00:00"
503,13.2,"1982-05-18 00:00:00"
504,15.2,"1982-05-19 00:00:00"
505,7.6,"1982-05-20 00:00:00"
506,8.4,"1982-05-21 00:00:00"
507,6,"1982-05-22 00:00:00"
508,8.3,"1982-05-23 00:00:00"
509,8.6,"1982-05-24 00:00:00"
510,11.1,"1982-05-25 00:00:00"
511,12.1,"1982-05-26 00:00:00"
512,12.9,"1982-05-27 00:00:00"
513,14,"1982-05-28 00:00:00"
514,12.5,"1982-05-29 00:00:00"
515,11.5,"1982-05-30 00:00:00"
516,7,"1982-05-31 00:00:00"
517,7.1,"1982-06-01 00:00:00"
518,9,"1982-06-02 00:00:00"
519,3.1,"1982-06-03 00:00:00"
520,2.5,"1982-06-04 00:00:00"
521,0,"1982-06-05 00:00:00"
522,1.6,"1982-06-06 00:00:00"
523,2.6,"1982-06-07 00:00:00"
524,5.7,"1982-06-08 00:00:00"
525,2.3,"1982-06-09 00:00:00"
526,4.5,"1982-06-10 00:00:00"
527,8.2,"1982-06-11 00:00:00"
528,6.9,"1982-06-12 00:00:00"
529,7.3,"1982-06-13 00:00:00"
530,6,"1982-06-14 00:00:00"
531,7.3,"1982-06-15 00:00:00"
532,7.6,"1982-06-16 00:00:00"
533,8,"1982-06-17 00:00:00"
534,8,"1982-06-18 00:00:00"
535,6.8,"1982-06-19 00:00:00"
536,7.3,"1982-06-20 00:00:00"
537,6.2,"1982-06-21 00:00:00"
538,6.9,"1982-06-22 00:00:00"
539,8.9,"1982-06-23 00:00:00"
540,4,"1982-06-24 00:00:00"
541,1.3,"1982-06-25 00:00:00"
542,0.8,"1982-06-26 00:00:00"
543,4.3,"1982-06-27 00:00:00"
544,7.3,"1982-06-28 00:00:00"
545,7.7,"1982-06-29 00:00:00"
546,9,"1982-06-30 00:00:00"
547,4.2,"1982-07-01 00:00:00"
548,1.6,"1982-07-02 00:00:00"
549,2.6,"1982-07-03 00:00:00"
550,3.4,"1982-07-04 00:00:00"
551,3.9,"1982-07-05 00:00:00"
552,7,"1982-07-06 00:00:00"
553,7.8,"1982-07-07 00:00:00"
554,5.3,"1982-07-08 00:00:00"
555,2.4,"1982-07-09 00:00:00"
556,2.8,"1982-07-10 00:00:00"
557,4,"1982-07-11 00:00:00"
558,7.5,"1982-07-12 00:00:00"
559,7.8,"1982-07-13 00:00:00"
560,5.6,"1982-07-14 00:00:00"
561,3.3,"1982-07-15 00:00:00"
562,5,"1982-07-16 00:00:00"
563,3.7,"1982-07-17 00:00:00"
564,3.9,"1982-07-18 00:00:00"
565,5.2,"1982-07-19 00:00:00"
566,0.2,"1982-07-20 00:00:00"
567,0.8,"1982-07-21 00:00:00"
568,0.9,"1982-07-22 00:00:00"
569,3.5,"1982-07-23 00:00:00"
570,6.6,"1982-07-24 00:00:00"
571,9.5,"1982-07-25 00:00:00"
572,9,"1982-07-26 00:00:00"
573,3.5,"1982-07-27 00:00:00"
574,4.5,"1982-07-28 00:00:00"
575,5.7,"1982-07-29 00:00:00"
576,5.6,"1982-07-30 00:00:00"
577,7.1,"1982-07-31 00:00:00"
578,9.7,"1982-08-01 00:00:00"
579,8.3,"1982-08-02 00:00:00"
580,9.1,"1982-08-03 00:00:00"
581,2.8,"1982-08-04 00:00:00"
582,2.2,"1982-08-05 00:00:00"
583,4.5,"1982-08-06 00:00:00"
584,3.8,"1982-08-07 00:00:00"
585,3.8,"1982-08-08 00:00:00"
586,6.2,"1982-08-09 00:00:00"
587,11.5,"1982-08-10 00:00:00"
588,10.2,"1982-08-11 00:00:00"
589,7.9,"1982-08-12 00:00:00"
590,9,"1982-08-13 00:00:00"
591,9.5,"1982-08-14 00:00:00"
592,6,"1982-08-15 00:00:00"
593,8.2,"1982-08-16 00:00:00"
594,9.2,"1982-08-17 00:00:00"
595,4.3,"1982-08-18 00:00:00"
596,6.6,"1982-08-19 00:00:00"
597,9.4,"1982-08-20 00:00:00"
598,13.2,"1982-08-21 00:00:00"
599,6.6,"1982-08-22 00:00:00"
600,5.1,"1982-08-23 00:00:00"
601,12.1,"1982-08-24 00:00:00"
602,11.2,"1982-08-25 00:00:00"
603,8.5,"1982-08-26 00:00:00"
604,4.6,"1982-08-27 00:00:00"
605,7,"1982-08-28 00:00:00"
606,14.2,"1982-08-29 00:00:00"
607,12.7,"1982-08-30 00:00:00"
608,7.6,"1982-08-31 00:00:00"
609,4,"1982-09-01 00:00:00"
610,10,"1982-09-02 00:00:00"
611,10.5,"1982-09-03 00:00:00"
612,5,"1982-09-04 00:00:00"
613,4.5,"1982-09-05 00:00:00"
614,8.2,"1982-09-06 00:00:00"
615,4.3,"1982-09-07 00:00:00"
616,9.8,"1982-09-08 00:00:00"
617,5.8,"1982-09-09 00:00:00"
618,5,"1982-09-10 00:00:00"
619,8.5,"1982-09-11 00:00:00"
620,9,"1982-09-12 00:00:00"
621,3.6,"1982-09-13 00:00:00"
622,6.7,"1982-09-14 00:00:00"
623,6.7,"1982-09-15 00:00:00"
624,10.1,"1982-09-16 00:00:00"
625,15,"1982-09-17 00:00:00"
626,8.9,"1982-09-18 00:00:00"
627,5.7,"1982-09-19 00:00:00"
628,4.2,"1982-09-20 00:00:00"
629,4,"1982-09-21 00:00:00"
630,5.3,"1982-09-22 00:00:00"
631,6.3,"1982-09-23 00:00:00"
632,8.5,"1982-09-24 00:00:00"
633,11.5,"1982-09-25 00:00:00"
634,7.7,"1982-09-26 00:00:00"
635,9.2,"1982-09-27 00:00:00"
636,7.8,"1982-09-28 00:00:00"
637,6.3,"1982-09-29 00:00:00"
638,6.3,"1982-09-30 00:00:00"
639,8.6,"1982-10-01 00:00:00"
640,6.1,"1982-10-02 00:00:00"
641,13.2,"1982-10-03 00:00:00"
642,9.9,"1982-10-04 00:00:00"
643,4.7,"1982-10-05 00:00:00"
644,5.8,"1982-10-06 00:00:00"
645,14.9,"1982-10-07 00:00:00"
646,10.7,"1982-10-08 00:00:00"
647,8.6,"1982-10-09 00:00:00"
648,9.4,"1982-10-10 00:00:00"
649,5.7,"1982-10-11 00:00:00"
650,10.9,"1982-10-12 00:00:00"
651,13.1,"1982-10-13 00:00:00"
652,10.4,"1982-10-14 00:00:00"
653,8.2,"1982-10-15 00:00:00"
654,9.8,"1982-10-16 00:00:00"
655,7.5,"1982-10-17 00:00:00"
656,5.8,"1982-10-18 00:00:00"
657,9.8,"1982-10-19 00:00:00"
658,7.9,"1982-10-20 00:00:00"
659,8.7,"1982-10-21 00:00:00"
660,10,"1982-10-22 00:00:00"
661,10.6,"1982-10-23 00:00:00"
662,8,"1982-10-24 00:00:00"
663,10.2,"1982-10-25 00:00:00"
664,15.1,"1982-10-26 00:00:00"
665,13.9,"1982-10-27 00:00:00"
666,9.2,"1982-10-28 00:00:00"
667,9,"1982-10-29 00:00:00"
668,13.2,"1982-10-30 00:00:00"
669,7,"1982-10-31 00:00:00"
670,10.6,"1982-11-01 00:00:00"
671,6.9,"1982-11-02 00:00:00"
672,9.5,"1982-11-03 00:00:00"
673,12.5,"1982-11-04 00:00:00"
674,13.6,"1982-11-05 00:00:00"
